Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
438	12525	Stephen, Khal	CLE	P	455.23	579	750		24		
439	12394	Fisher, Braydon	TOR	P	455.29	428	750		28		
440	10604	Mattson, Isaac	PIT	P	455.82	517	750		30		
441	10574	Alexander, Jason	HOU	P	455.85	443	750		29		
442	10734	Phillips, Tyler	MIA	P	455.89	320	750		34		
443	11620	McGarry, Griff	WAS	P	455.91	469	749		30		
444	12186	Henriquez, Edgardo	LAD	P	455.98	491	746		36		
445	11978	Mena, Cristian	ARZ	P	456.15	601	750		30		
446	9957	Hicks, Jordan	CWS	P	456.28	455	749		38		
447	11379	Bautista, Felix	BAL	P	456.42	155	747		85		
448	10295	Pearson, Nate	HOU	P	456.46	470	748		40		
449	12121	Orze, Eric	MIN	P	456.46	542	750		31		
450	12277	Avila, Luinder	KC	P	456.51	544	746		43		
451	7791	Perez, Martin	CWS	P	456.59	564	746		33		
452	11987	Miller, Erik	SF	P	456.82	406	750		42		
453	11552	Little, Brendon	TOR	P	456.89	350	749		42		
454	11945	Teodo, Emiliano	TEX	P	457.01	519	749		38		
455	10112	Means, John	CLE	P	457.15	499	744		52		
456	11994	Corniell, Jose	TEX	P	457.32	471	750		46		
457	12607	Baumler, Carter	TEX	P	457.38	359	747		48		
458	12122	Bigge, Hunter	TB	P	457.39	552	750		37		
459	11961	Montero, Keider	DET	P	457.53	535	747		39		
460	12505	Arnold, Jamie	ATH	P	457.55	511	747		46		
461	9937	Fernandez, Julian	WAS	P	457.60	433	750		40		
462	12500	Davalillo, David	TEX	P	457.72	583	749		37		
463	8756	Treinen, Blake	LAD	P	457.92	469	750		46		
464	8645	Johnson, Pierce	CIN	P	457.95	505	748		44		
465	11266	Latz, Jacob	TEX	P	458.19	245	639		895		
466	12296	Dreyer, Jack	LAD	P	458.33	432	750		47		
467	12611	Bremner, Tyler	FA	P	458.41	457	747		51		
468	12221	Agnos, Zach	COL	P	458.44	332	746		67		
469	11130	Francis, Bowden	TOR	P	458.52	491	749		48		
470	10501	Herget, Jimmy	COL	P	458.55	450	750		51		
471	9965	McKenzie, Triston	CLE	P	458.85	414	749		56		
472	12005	Drohan, Shane	MLW	P	458.93	328	750		55		
473	11165	Bazardo, Eduard	SEA	P	458.94	421	746		50		
474	9800	Burnes, Corbin	ARZ	P	459.25	70	727		829		
475	9897	Loaisiga, Jonathan	NYY	P	459.63	541	750		52		
476	10877	Williamson, Brandon	CIN	P	459.64	359	742		101		
477	11157	Gomez, Yoendrys	TB	P	459.78	543	745		53		
478	8272	Corbin, Patrick	TEX	P	459.93	311	750		65		
479	12546	White, Josh	MIA	P	460.21	406	750		59		
480	9677	Maton, Phil	CHC	P	460.31	275	663		799		
481	11916	Rodriguez, Yariel	TOR	P	460.32	490	749		55		
482	11395	Faucher, Calvin	MIA	P	460.58	135	709		800		
483	12206	Maxwell, Zach	CIN	P	460.58	537	749		58		
484	11205	Bender, Anthony	MIA	P	460.66	440	749		62		
485	11489	Koenig, Jared	MLW	P	460.72	344	746		65		
486	12368	Johnson, Ryan	LAA	P	461.01	393	750		75		
487	11847	Wicks, Jordan	CHC	P	461.22	450	750		79		
488	12164	Zeferjahn, Ryan	LAA	P	461.70	525	748		68		
489	11297	Brash, Matt	SEA	P	461.71	253	617		817		
490	11459	Holton, Tyler	DET	P	461.78	262	750		82		
491	12519	Crow, Coleman	MLW	P	461.94	549	749		70		
492	9175	Houser, Adrian	SF	P	462.20	291	688		908		
493	9734	Minter, A.J.	NYM	P	462.51	323	750		81		
494	11193	Wells, Tyler	BAL	P	462.71	309	711		822		
495	11662	Ferrer, Jose A.	SEA	P	463.23	158	740		769		
496	12045	Petty, Chase	CIN	P	463.42	512	749		79		
497	9938	Kinley, Tyler	ATL	P	464.08	363	749		99		
498	11400	Butto, Jose	SF	P	464.10	441	747		87		
499	12008	Slaten, Justin	BOS	P	464.29	406	750		82		
500	11148	Sugano, Tomoyuki	COL	P	464.42	433	750		99		
501	11073	Miller, Bobby	LAD	P	464.52	418	750		82		
502	12536	Wenninger, Jack	NYM	P	464.75	389	750		95		
503	11904	Vasil, Mike	CWS	P	465.15	501	750		88		
504	12137	McGreevy, Michael	STL	P	465.41	273	622		932		
505	12273	Strowd, Kade	ARZ	P	465.52	349	750		127		
506	9719	Fedde, Erick	CWS	P	465.88	370	749		108		
507	12171	Dana, Caden	LAA	P	465.92	448	750		94		
508	9819	Mikolas, Miles	WAS	P	465.94	446	750		130		
509	9646	Montgomery, Jordan	TEX	P	465.98	472	750		98		
510	6837	Scherzer, Max	TOR	P	466.04	242	706		957		
511	11975	Mejia, Juan	COL	P	466.05	406	749		97		
512	11172	Zerpa, Angel	MLW	P	466.15	512	750		93		
513	12348	Susana, Jarlin	WAS	P	466.15	402	750		99		
514	9706	Kittredge, Andrew	BAL	P	466.27	217	743		695		
515	11980	Hodge, Porter	CHC	P	466.64	457	750		99		
516	11856	Saalfrank, Andrew	ARZ	P	466.66	265	750		268		
517	11850	Funderburk, Kody	MIN	P	466.91	348	750		112		
518	8748	Martinez, Nick	TB	P	466.92	267	728		931		
519	12111	King, Bryan	HOU	P	467.02	242	749		121		
520	9519	Stanek, Ryne	STL	P	467.27	325	749		124		
521	8170	Hendriks, Liam	BOS	P	467.35	334	750		137		
522	8941	Freeland, Kyle	COL	P	469.06	443	750		190		
523	8418	Walker, Taijuan	PHI	P	469.45	398	750		165		
524	12493	Pecko, Ethan	HOU	P	469.56	522	750		121		
525	10873	Hancock, Emerson	SEA	P	470.32	281	749		267		
526	10165	Schmidt, Clarke	NYY	P	470.44	506	749		138		
527	11984	Perales, Luis	WAS	P	470.95	456	749		133		
528	10167	Winn, Cole	TEX	P	471.05	281	750		140		
529	10187	Hall, DL	MLW	P	472.27	475	750		125		
530	12232	Prielipp, Connor	MIN	P	472.32	432	750		142		
531	8689	Matz, Steven	TB	P	472.52	301	749		862		
532	12487	Doyle, Liam	STL	P	473.22	377	750		167		
533	9295	Marquez, German	SD	P	473.23	343	750		208		
534	8768	Martin, Chris	TEX	P	473.53	238	735		685		
535	10926	Espino, Daniel	CLE	P	473.54	424	750		153		
536	12498	Johnson, Ty	TB	P	473.54	514	750		139		
537	10960	Thompson, Ryan	ARZ	P	473.72	398	750		192		
538	9923	Barlow, Scott	ATH	P	473.81	359	750		185		
539	12415	Fuentes, Didier	ATL	P	473.94	249	750		467		
540	11988	Teng, Kai-Wei	HOU	P	473.96	430	750		166		
541	10246	Wentz, Joey	ATL	P	474.27	339	750		194		
542	11755	Burke, Sean	CWS	P	475.23	325	634		832		
543	11650	Harris, Hogan	ATH	P	475.41	242	747		702		
544	12512	Bratt, Mitch	ARZ	P	476.40	476	750		163		
545	10524	Akin, Keegan	BAL	P	476.89	317	750		221		
546	12392	Tidwell, Blade	SF	P	477.16	459	750		177		
547	10645	Urquidy, Jose	PIT	P	477.48	383	747		204		
548	11754	Joyce, Ben	LAA	P	477.51	280	682		744		
549	10976	Irvin, Jake	WAS	P	477.66	301	749		231		
550	12280	Dobbins, Hunter	STL	P	477.71	335	749		187		
551	8632	Rodriguez, Eduardo	ARZ	P	478.35	303	694		878		
552	12124	Wrobleski, Justin	LAD	P	478.44	263	748		789		
553	12169	Halvorsen, Seth	COL	P	478.54	240	741		678		
554	11547	Assad, Javier	CHC	P	478.70	418	750		181		
555	10161	Paddack, Chris	MIA	P	479.93	315	750		348		
556	10842	Lee, Dylan	ATL	P	480.42	331	750		203		
557	12183	Rocker, Kumar	TEX	P	480.64	305	644		852		
558	11350	Diaz, Alexis	TEX	P	481.33	234	748		619		
559	11605	Tiedemann, Ricky	TOR	P	481.96	448	749		258		
560	10748	Griffin, Foster	WAS	P	482.09	155	733		813		
561	11910	Ryan, River	LAD	P	482.42	268	745		801		
562	12445	Peguero, Joel	SF	P	482.53	391	747		254		
563	9936	Keller, Brad	PHI	P	482.57	258	721		720		
564	9792	Puk, A.J.	ARZ	P	482.74	346	748		456		
565	11822	Leahy, Kyle	STL	P	482.82	266	695		802		
566	9779	Kopech, Michael	LAD	P	482.94	267	747		329		
567	12340	Alvarado, Elvis	ATH	P	483.03	350	749		248		
568	11935	Brown, Ben	CHC	P	483.22	271	676		761		
569	10694	Kay, Anthony	CWS	P	483.50	295	732		686		
570	11375	Weiss, Ryan	HOU	P	484.58	310	749		701		
571	12486	Gibson, Trey	BAL	P	484.89	459	749		255		
572	9648	Leiter Jr., Mark	ATH	P	485.13	251	715		645		
573	11863	Gipson-Long, Sawyer	DET	P	485.20	338	750		338		
574	12196	Smith, Hagen	CWS	P	485.31	398	750		244		
575	11364	Sands, Cole	MIN	P	485.42	265	719		716		
576	10259	Gray, Josiah	WAS	P	485.65	339	749		262		
577	12329	Rodriguez, Elmer	NYY	P	485.67	331	715		701		
578	11912	Scott, Christian	NYM	P	485.71	346	690		731		
579	12161	Ginn, J.T.	ATH	P	485.77	322	747		594		
580	9807	Yarbrough, Ryan	NYY	P	485.95	379	749		251		
581	10499	Lawrence, Justin	PIT	P	486.25	428	750		238		
582	12009	Kolek, Stephen	KC	P	486.41	322	749		336		
583	11677	Vasquez, Randy	SD	P	486.48	265	750		628		
584	12026	Birdsong, Hayden	SF	P	486.86	374	750		383		
585	9124	Rea, Colin	CHC	P	487.11	279	723		667		
586	12491	Lagrange, Carlos	NYY	P	487.16	178	750		384		
587	11924	Povich, Cade	BAL	P	487.19	329	750		662		
588	11587	Stone, Gavin	LAD	P	487.24	351	749		275		
589	11423	Henry, Cole	WAS	P	487.39	296	750		414		
590	11956	Whisenhunt, Carson	SF	P	487.68	421	750		272		
591	10209	Canning, Griffin	SD	P	487.74	376	749		313		
592	12159	Casparius, Ben	LAD	P	487.81	441	748		294		
593	11855	Phillips, Connor	CIN	P	488.30	330	750		358		
594	11902	Festa, David	MIN	P	488.30	351	750		329		
595	12473	Ritchie, JR	ATL	P	489.07	246	739		686		
596	11126	Topa, Justin	MIN	P	489.19	353	750		371		
597	9892	Soto, Gregory	PIT	P	489.43	271	739		619		
598	8633	Harvey, Hunter	CHC	P	489.48	316	750		636		
599	11424	Varland, Louis	TOR	P	489.52	244	747		683		
600	11986	McDonald, Trevor	SF	P	489.61	359	750		427		
601	11283	Crawford, Kutter	BOS	P	489.71	244	741		517		
602	12345	Perkins, Jack	ATH	P	489.71	313	744		520		
603	8947	Newcomb, Sean	CWS	P	489.73	450	750		326		
604	9583	Anderson, Drew	DET	P	490.04	355	744		468		
605	11810	Mlodzinski, Carmen	PIT	P	490.09	287	749		583		
606	10024	Lauer, Eric	TOR	P	490.43	240	724		644		
607	12389	Blubaugh, AJ	HOU	P	490.49	350	743		489		
608	12131	Hopkins, Brody	TB	P	490.86	467	750		277		
609	11745	Gasser, Robert	MLW	P	490.94	358	729		641		
610	10688	Speier, Gabe	SEA	P	491.18	336	750		325		
611	12014	Fitts, Richard	STL	P	491.20	290	747		695		
612	11442	Pallante, Andre	STL	P	491.53	438	750		340		
613	11280	Junk, Janson	MIA	P	491.60	336	748		435		
614	12220	Klassen, George	LAA	P	491.95	408	750		321		
615	8895	Garcia, Yimi	TOR	P	492.04	343	749		333		
616	9205	Strahm, Matt	KC	P	492.66	257	746		762		
617	11401	Sears, JP	SD	P	492.73	343	747		548		
618	12288	Bergert, Ryan	KC	P	492.75	341	747		482		
619	11403	Jameson, Drey	ARZ	P	492.79	344	748		378		
620	10308	Sandoval, Patrick	BOS	P	492.94	309	750		340		
621	10518	Romano, Jordan	LAA	P	493.16	268	737		631		
622	9028	Lorenzen, Michael	COL	P	493.20	320	750		385		
623	11792	Bradford, Cody	TEX	P	493.22	400	748		416		
624	10345	Myers, Tobias	NYM	P	493.23	376	729		423		
625	12369	Lord, Brad	WAS	P	493.37	387	750		406		
626	10640	Civale, Aaron	ATH	P	493.39	359	750		465		
627	10725	Rogers, Tyler	TOR	P	493.88	247	747		560		
628	11417	Ashcraft, Graham	CIN	P	494.28	336	750		343		
629	11470	Martin, Davis	CWS	P	494.57	306	749		443		
630	12517	McDougal, Tanner	CWS	P	494.67	352	747		338		
631	8659	McCullers Jr., Lance	HOU	P	495.12	385	738		452		
632	10025	Adam, Jason	SD	P	495.23	327	750		356		
633	11528	Gaddis, Hunter	CLE	P	495.53	315	748		596		
634	8189	Pomeranz, Drew	LAA	P	495.54	306	749		445		
635	11307	Elder, Bryce	ATL	P	495.60	277	750		635		
636	12481	Wiggins, Jaxon	CHC	P	495.62	399	750		432		
637	9123	Armstrong, Shawn	CLE	P	496.04	173	750		587		
638	12360	Barco, Hunter	PIT	P	496.22	294	743		612		
639	8280	Quintana, Jose	COL	P	496.68	284	749		410		
640	11412	Allen, Logan	CLE	P	497.17	387	749		451		
641	9764	Buehler, Walker	SD	P	497.45	284	750		569		
642	10853	Baker, Bryan	TB	P	497.74	301	750		419		
643	10372	Ashby, Aaron	MLW	P	497.78	295	716		716		
644	11876	Kerkering, Orion	PHI	P	498.12	328	749		361		
645	12484	Jump, Gage	ATH	P	498.59	296	750		440		
646	12192	Mathews, Quinn	STL	P	499.09	376	744		617		
647	11557	Cruz, Fernando	NYY	P	499.45	325	746		396		
648	10784	Vesia, Alex	LAD	P	499.98	300	748		520		
649	11621	Montgomery, Mason	PIT	P	500.11	325	750		465		
650	12209	Dollander, Chase	COL	P	500.28	330	744		718		
651	10854	Manoah, Alek	LAA	P	500.60	328	745		513		
652	9515	Alvarado, Jose	PHI	P	500.63	282	750		498		
653	12483	Anderson, Kade	SEA	P	501.29	396	749		513		
654	12197	Schultz, Noah	CWS	P	503.83	383	750		486		
